

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
6	188	240	13	20	43.5	41
7	220	239	10	20	120.5	41
8	179	222	255	155	1209.0	41
8	237	209	13	20	57.0	41
9	261	136	18	20	217.5	41
10	450	107	17	20	52.0	41
11	413	59	8	9	19.5	41
12	95	51	16	20	73.0	41
13	407	46	12	8	52.0	41
14	572	41	19	20	124.5	41
15	137	16	20	20	111.0	41
16	50	11	9	20	42.0	41

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	363	451	14	20	139.5	42
1	345	419	13	20	49.0	42
2	579	410	18	20	77.0	42
3	386	393	2	20	18.5	42
4	17	391	14	20	89.0	42
5	97	309	20	14	50.0	42
6	221	241	11	20	131.5	42
7	189	240	13	20	43.5	42
8	179	222	255	155	1212.5	42
8	237	209	13	20	57.0	42
9	262	138	18	20	217.5	42
10	450	107	17	20	52.0	42
11	414	58	4	10	24.0	42
12	95	53	16	20	73.0	42
