

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
6	55	230	15	21	229.0	54
7	259	222	16	21	132.0	54
8	344	212	15	18	127.5	54
9	94	118	12	21	63.5	54
10	128	109	15	21	143.0	54
11	99	69	15	21	112.5	54
12	92	38	17	21	94.5	54
13	302	37	15	21	80.0	54
14	590	34	13	21	146.0	54
15	187	12	11	21	45.5	54

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	92	455	12	21	74.5	55
1	447	422	10	20	90.5	55
2	140	407	17	21	179.5	55
3	562	336	19	21	96.0	55
4	231	265	15	20	142.5	55
5	339	250	10	21	45.0	55
6	55	231	15	21	229.0	55
7	261	224	14	20	96.0	55
8	344	212	15	18	127.5	55
9	95	118	12	21	63.5	55
10	128	109	15	21	143.0	55
11	101	69	15	21	112.5	55
